pitch_type,release_speed,release_pos_x,release_pos_z,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis
FF,96.1,-1.3,6.66,,,,,9.0,R,R,B,1,2,-0.56,1.31,-0.46,4.64,,,,0,2,3.44249005217383,-140.02286047055756,-2.7255792817440447,-8.113631221736997,31.438461895206338,-14.54115548084279,3.58,1.76,2440.0,5.7,54.77,11,5,4-Seam Fastball,193.0
SL,85.8,-1.59,6.28,,,,,10.0,R,R,B,0,2,0.55,-0.13,1.8,2.82,,,,0,2,6.875796342580388,-124.85633649544666,-1.6502670086331628,4.40757745982161,24.238651945191755,-33.454640302426604,3.48,1.71,2852.0,6.0,54.51,11,4,Slider,59.0
SL,84.7,-1.55,6.4,,,,,8.0,R,R,S,0,2,0.44,-0.16,0.39,1.84,,,,0,2,3.6377002738650894,-123.48118659696426,-4.079526715781415,3.9326319248958894,21.675493997274064,-33.280662627295506,3.49,1.6,3053.0,5.9,54.61,11,3,Slider,63.0
SL,84.8,-1.54,6.44,,,,,8.0,R,R,S,0,1,0.29,-0.17,0.47,1.58,,,,0,2,4.091378946734602,-123.60078676577828,-4.778872997895004,2.331171092212057,21.19020573670211,-33.30369436044132,3.49,1.6,2999.0,5.9,54.62,11,2,Slider,45.0
SL,83.8,-1.38,6.54,,,,,0.0,R,R,S,0,0,0.04,-0.24,-0.34,3.15,,,,0,2,2.302140632698282,-122.20948772512725,-1.0723129268066205,0.0175805538839362,20.48096999358813,-34.61404863380764,3.49,1.6,2867.0,5.8,54.71,11,1,Slider,68.0
SL,86.2,-1.65,6.28,,,,,12.0,R,R,S,1,2,0.49,-0.13,1.11,2.05,,,,2,1,5.53570889478841,-125.53918323342482,-3.610878129474026,4.247854687770749,22.99100227805751,-33.101887185685705,3.66,1.68,3010.0,5.9,54.61,5,4,Slider,60.0
SL,85.4,-1.59,6.28,,,,,8.0,R,R,S,1,1,0.47,-0.11,0.72,2.15,,,,2,1,4.476843673524463,-124.4682598428891,-3.28754318767304,4.088816780018072,22.26308301957342,-32.878516696821144,3.73,1.9,2923.0,6.0,54.49,5,3,Slider,70.0
FF,96.6,-1.38,6.5,,,,,9.0,R,R,B,0,1,-0.61,1.19,-0.57,4.46,,,,2,1,3.538790516593748,-140.7811890161108,-2.6009888403771355,-8.946874781921627,30.33718119037102,-15.877361393618036,3.83,1.94,2351.0,5.8,54.68,5,2,4-Seam Fastball,196.0
SL,85.6,-1.44,6.42,,,,,4.0,R,R,S,0,0,0.16,-0.13,-0.01,2.56,,,,2,1,3.029886140853653,-124.79950306589708,-2.644105270792222,1.142507023502794,22.71481966530752,-33.262438898907604,3.79,1.87,2880.0,5.9,54.58,5,1,Slider,74.0
CH,80.5,-1.46,6.24,,,,,3.0,L,R,X,1,2,-0.98,1.21,-0.34,2.95,,,,2,1,4.349017819880331,-117.23316205291142,-2.9326712614518904,-9.896592339537117,21.670225424765245,-20.67465257956746,3.58,1.68,1833.0,6.2,54.29,4,4,Changeup,184.0
