,"last_name, first_name",pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
211,"Vesia, Alex",681911,63.2,,,31.7,5.1,,,,,
212,"Armstrong, Shawn",542888,33.2,27.1,31.5,3.0,,,,,5.2,
213,"Adam, Jason",592094,37.4,,,20.6,25.8,,,,16.1,
214,"Santana, Dennis",642701,26.2,13.4,19.2,32.8,8.4,,,,,
215,"Festa, David",701581,40.2,,,31.8,28.0,,,,,
216,"Cronin, Declan",686539,7.2,40.6,,51.6,,,,,0.6,
217,"Bellozo, Valente",678368,37.4,,25.3,,14.4,12.5,,,10.3,
218,"Jiménez, Joe",641729,46.2,,,49.6,4.2,,,,,
219,"Kerkering, Orion",689147,29.2,15.2,,,,,,,55.7,
220,"Holmes, Clay",605280,0.2,56.3,,23.0,,,,,20.5,
221,"Luzardo, Jesús",666200,39.4,8.3,,29.2,22.9,0.2,,,,
222,"Rogers, Taylor",573124,,52.8,,,,,,,47.2,
223,"Lawrence, Justin",664875,,58.9,,,,,,,41.1,
224,"Maton, Phil",664208,,9.3,35.5,4.0,,28.8,,,22.4,
225,"Gaddis, Hunter",683769,38.3,,,44.8,16.8,,,,,
226,"Wesneski, Hayden",669713,36.5,11.2,8.8,,3.0,,,,40.6,
227,"Contreras, Roansy",672710,37.6,10.1,,25.0,10.5,9.4,,,7.4,
228,"Jax, Griffin",643377,29.9,9.8,,,16.7,6.2,,,37.5,
229,"Finnegan, Kyle",640448,67.6,,,5.6,,,26.8,,,
230,"Baumann, Mike",657508,40.5,0.3,,23.8,1.9,33.5,,,,
231,"Williams, Trevor",592866,36.4,12.1,,13.5,16.8,,,,21.1,
232,"Morejon, Adrian",670970,23.4,36.0,,30.4,,,7.6,,2.6,
233,"Domínguez, Seranthony",622554,40.4,18.4,,40.0,1.1,,,,,
234,"Pearson, Nate",663878,46.0,1.7,,40.7,,11.5,0.1,,,
235,"Cleavinger, Garrett",664076,24.8,9.5,26.3,22.0,,,,,17.4,
236,"Bido, Osvaldo",674370,39.3,10.0,14.3,21.1,15.3,,,,,
237,"Miller, Bobby",676272,37.9,13.6,,9.6,19.9,19.0,,,,
238,"Alvarado, José",621237,,59.4,40.3,,,0.3,,,,
239,"Matsui, Yuki",673513,41.1,,,26.9,,1.0,24.5,,6.6,
240,"Molina, Anthony",683627,48.3,,,22.4,22.4,6.9,,,,
241,"Chavez, Jesse",445926,,26.9,51.1,1.6,13.4,7.0,,,,
242,"Milner, Hoby",571948,21.4,32.0,,,13.7,,,,32.9,
243,"Lambert, Peter",663567,38.5,2.3,1.0,18.8,25.0,3.9,,,,10.5
244,"Kelly, Kevin",687330,2.2,61.5,8.4,,,,,,27.8,
245,"Cabrera, Génesis",650893,18.4,22.5,39.3,,7.7,12.0,,,,
246,"Weissert, Greg",669711,22.8,33.4,,5.7,8.8,,,,29.2,
247,"Mears, Nick",683232,60.2,,,22.6,,17.2,,,,
248,"Kittredge, Andrew",552640,12.5,37.5,0.6,49.4,,,,,,
249,"Yates, Kirby",489446,60.7,,,0.6,,,38.7,,,
250,"Holmes, Grant",656550,37.3,,8.2,31.8,1.2,21.5,,,,
251,"Miller, Mason",695243,63.1,,,35.0,1.7,,0.3,,,
252,"Bednar, David",670280,55.5,,,,,20.4,24.0,,,
253,"Suter, Brent",608718,42.9,21.0,,16.3,19.8,,,,,
254,"Barlow, Scott",605130,20.5,13.4,,45.1,,21.0,,,,
255,"Floro, Dylan",571670,15.8,47.7,,26.9,9.5,,,,,
256,"Koenig, Jared",657649,0.6,57.2,25.2,,3.9,13.1,,,,
257,"Smyly, Drew",592767,,48.0,3.3,,,48.6,,,,
258,"Anderson, Chase",502624,14.9,1.7,33.9,,30.4,4.0,,,15.2,
259,"Leiter Jr., Mark",643410,,30.0,7.6,,0.2,16.9,36.1,,9.2,
260,"Hancock, Emerson",676106,32.6,29.8,,16.5,21.1,,,,,
261,"Herrin, Tim",682120,24.5,12.6,,27.6,,35.3,,,,
262,"Cano, Yennier",666974,11.0,51.5,,13.0,24.5,,,,,
263,"Neris, Héctor",593576,46.3,9.8,,3.5,,,40.4,,,
264,"Faedo, Alex",656412,35.2,5.4,,39.6,19.9,,,,,
265,"Jarvis, Bryce",686826,34.4,14.9,12.7,23.7,13.6,0.7,,,,
266,"Sandlin, Nick",680704,29.5,9.2,,34.8,,,26.5,,,
267,"Ottavino, Adam",493603,9.9,33.9,10.7,2.3,5.0,,,,38.3,
268,"Estrada, Jeremiah",669093,56.5,,,23.6,,,19.8,,,
269,"Rogers, Tyler",643511,0.8,63.7,,35.5,,,,,,
270,"Hoffman, Jeff",656546,39.1,8.2,,40.8,,,12.0,,,
271,"Hudson, Daniel",543339,49.5,5.8,,40.9,3.7,,,,,
272,"Stratton, Chris",608717,38.2,8.8,,20.6,10.0,22.1,,,0.3,
273,"Brebbia, John",605154,47.9,,,51.8,0.3,,,,,
274,"Faucher, Calvin",676534,,33.2,38.1,,,21.8,,,6.9,
275,"Suarez, José",660761,39.9,8.8,1.5,12.7,24.7,0.1,,,12.3,
276,"Clase, Emmanuel",661403,1.2,0.4,77.8,20.5,,,,,,
277,"Hill, Tim",657612,26.1,68.7,,5.2,,,,,,
